business_id,name,city,state,postal_code,is_open,categories,avg_stars,avg_useful,avg_funny,avg_cool,total_reviews
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,19107,1,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",4.06,1.51,0.54,1.09,87
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,46227,1,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",2.41,0.66,0.14,0.48,29
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,19106,1,"Sushi Bars, Restaurants, Japanese",4.2,1.3,0.25,0.66,250
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,19147,1,"Korean, Restaurants",4.32,0.8,0.24,0.42,208
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,46250,1,"Steakhouses, Asian Fusion, Restaurants",3.95,1.0,0.05,0.2,20
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,19147,0,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",3.88,0.99,0.30000000000000004,0.51,69
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,19127,0,"Pizza, Restaurants, Salad, Soup",2.8,0.49,0.1,0.15,41
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,19123,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",3.45,2.53,0.55,1.21,66
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,46250,1,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",3.33,0.7000000000000001,0.32,0.28,270
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,46220,0,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",2.42,2.46,0.96,0.46,24
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,19104,1,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",3.14,0.88,0.65,0.56,57
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,19130,1,"Restaurants, Chinese",3.05,1.03,0.4,0.27,147
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,19107,0,"Seafood, Restaurants, Sushi Bars, Japanese",4.61,1.01,0.16,0.41000000000000003,75
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,Philadelphia,PA,19124,1,"Burgers, Restaurants, Fast Food",1.33,0.4,0.07,0.13,15
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,Indianapolis,IN,46201,1,"Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants, Pizza, Southern",4.86,1.57,0.0,0.29,7
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,Indianapolis,IN,46240,1,"Steakhouses, Restaurants, Sushi Bars, Japanese",3.99,0.86,0.19,0.56,255
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,19147,1,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",4.48,0.92,0.26,0.45,190
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,Indianapolis,IN,46204,0,"Restaurants, Lounges, Bars, American (New), Nightlife",4.16,1.77,0.53,0.9400000000000001,214
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,Philadelphia,PA,19104,0,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",4.06,1.08,0.25,0.31,48
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,Philadelphia,PA,19125,1,"Food, Bakeries, Restaurants",4.31,2.0,0.77,0.77,13
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Philadelphia,PA,19139,1,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",4.27,1.41,0.27,0.58,66
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,Philadelphia,PA,19147,0,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",3.05,0.77,0.30000000000000004,0.32,180
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,Philadelphia,PA,19130,1,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food",4.45,0.73,0.36,1.27,11
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,Philadelphia,PA,19115,0,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza",2.5,2.17,0.17,0.67,6
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,Philadelphia,PA,19147,0,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars",3.89,2.02,0.25,0.39,80
bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza,Indianapolis,IN,46221,1,"Chicken Wings, Sandwiches, Restaurants, Pizza",3.75,0.08,0.08,0.17,12
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,Philadelphia,PA,19146,1,"Restaurants, Fast Food",2.7600000000000002,1.06,1.0,0.59,17
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,19103,1,"Restaurants, American (New), Breakfast & Brunch, Burgers",4.25,1.18,0.24,0.63,635
juVJO2kMrHwCYXwQQmv1Tg,Sidekicks Pizza,Indianapolis,IN,46203,0,"Sandwiches, Restaurants, Pizza, Salad",3.8,0.5700000000000001,0.07,0.15,46
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,19126,1,"Korean, Restaurants",4.44,1.16,0.49,0.65,359
bPPy7yNFfb-6N_bHkn1qAw,Taste of the Caribbean,Indianapolis,IN,46201,1,"Restaurants, Caribbean, Food Trucks, Food",3.12,2.0,1.24,1.18,17
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,19147,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",3.89,0.92,0.30000000000000004,0.49,625
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,Philadelphia,PA,19103,0,"Restaurants, French",3.64,1.12,0.39,0.49,170
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,Indianapolis,IN,46202,1,"Gastropubs, Nightlife, Restaurants, Thai, Bars, Cocktail Bars",4.51,1.35,0.1,0.67,136
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,Philadelphia,PA,19131,0,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",3.02,0.91,0.61,1.15,54
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,Philadelphia,PA,19107,0,"Indian, Restaurants",3.88,1.91,0.47000000000000003,0.36,223
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,Philadelphia,PA,19147,0,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food",3.83,0.8300000000000001,0.33,0.44,173
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,Philadelphia,PA,19114,1,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch",3.86,0.52,0.14,0.25,85
CPgWuWGZ4v2sZr5_-1kluw,Checkers,Philadelphia,PA,19121,1,"Restaurants, Fast Food, Burgers",1.76,1.76,1.9000000000000001,0.5700000000000001,21
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,Philadelphia,PA,19123,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis",4.06,0.9,0.1,0.35000000000000003,31
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,Philadelphia,PA,19107,0,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch",2.7600000000000002,1.31,0.34,0.21,29
yFqq66GxRjnhZXPgjA6hnw,KFC,Philadelphia,PA,19124,1,"Restaurants, Chicken Shop, Fast Food, Chicken Wings",1.78,0.0,0.0,0.0,9
